,PRODUCT,Coal and coal products,Peat and peat products,Oil shale and oil sands,"Crude, NGL and feedstocks",Oil products,Natural gas,Nuclear,Hydro,Geothermal,Solar/wind/other,Biofuels and waste,Heat production from non-specified combustible fuels,Electricity,Heat,Total,Memo: Renewables,"Memo: Coal, peat and oil shale",Memo: Primary and secondary oil,"Memo: Geothermal, solar/wind/other, heat, electricity"
FLOW,TIME
Exports,2008,-669,0,0,0,-19658,0,0,0,0,0,0,0,0,0,-20326,0,-669,-19658,0
Exports,2009,-749,0,0,0,-17358,0,0,0,0,0,0,0,0,0,-18107,0,-749,-17358,0
Exports,2010,-472,0,0,0,-17458,0,0,0,0,0,0,0,0,0,-17930,0,-472,-17458,0
Exports,2011,-703,0,0,0,-13929,0,0,0,0,0,0,0,0,0,-14632,0,-703,-13929,0
Exports,2012,-1044,0,0,0,-13046,0,0,0,0,0,0,0,0,0,-14090,0,-1044,-13046,0
Exports,2013,-853,0,0,0,-16991,0,0,0,0,0,0,0,0,0,-17845,0,-853,-16991,0
Exports,2014,-354,0,0,0,-15841,0,0,0,0,0,0,0,0,0,-16194,0,-354,-15841,0
Exports,2015,-551,0,0,0,-18460,0,0,0,0,0,0,0,0,0,-19011,0,-551,-18460,0
Exports,2016,-719,0,0,0,-18492,0,0,0,0,0,0,0,0,0,-19211,0,-719,-18492,0
Exports,2017,-862,0,0,0,-17658,0,0,0,0,0,0,0,0,0,-18520,0,-862,-17658,0
Exports,2018,-1021,0,0,0,-17703,0,0,0,0,0,0,0,0,0,-18724,0,-1021,-17703,0
Exports,2019,-1114,0,0,0,-19077,0,0,0,0,0,0,0,0,0,-20191,0,-1114,-19077,0
International marine bunkers,1960,0,0,0,0,-1628,0,0,0,0,0,0,0,0,0,-1628,0,0,-1628,0
International marine bunkers,1961,0,0,0,0,-1933,0,0,0,0,0,0,0,0,0,-1933,0,0,-1933,0
International marine bunkers,1962,0,0,0,0,-2035,0,0,0,0,0,0,0,0,0,-2035,0,0,-2035,0
International marine bunkers,1963,0,0,0,0,-3765,0,0,0,0,0,0,0,0,0,-3765,0,0,-3765,0
International marine bunkers,1964,0,0,0,0,-5291,0,0,0,0,0,0,0,0,0,-5291,0,0,-5291,0
International marine bunkers,1965,0,0,0,0,-6817,0,0,0,0,0,0,0,0,0,-6817,0,0,-6817,0
International marine bunkers,1966,0,0,0,0,-9056,0,0,0,0,0,0,0,0,0,-9056,0,0,-9056,0
International marine bunkers,1967,0,0,0,0,-8140,0,0,0,0,0,0,0,0,0,-8140,0,0,-8140,0
International marine bunkers,1968,0,0,0,0,-6410,0,0,0,0,0,0,0,0,0,-6410,0,0,-6410,0
International marine bunkers,1969,0,0,0,0,-7936,0,0,0,0,0,0,0,0,0,-7936,0,0,-7936,0
International marine bunkers,1970,0,0,0,0,-14497,0,0,0,0,0,0,0,0,0,-14497,0,0,-14497,0
International marine bunkers,1971,0,0,0,0,-15623,0,0,0,0,0,0,0,0,0,-15623,0,0,-15623,0
