TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,1,2,5,6,5,4,4,4,5,8,4,3,4,4,5,4,4,4,5,6,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,315,519,614,509,625,713,707,683,472,499,493,260,351,306,361,336,359,477,231,58,48,43,36,47,38,42,39,20,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Canada,910,969,1065,1191,1456,1440,1498,1739,1597,1816,1980,1867,1901,2054,2121,1799,2476,2781,3720,4361,3797,3975,3017,3251,4189,5304,5055,5835,6134,5994,6320,6597,7403,7940,7902,8452,8970,9363,8357,10216,9315,9529,9958,11220,12598,11431,12432,12591,11590,10090,10877,11021,11243,11171,11733,12194,13447,10967,10833,..
Chile,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,70,1,182,206,133,3,0,0,0,..
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,0,0,0,430,484,494,978,1118,1569,2206,2497,2927,3346,3487,6659,5894,8053,10036,11242,12795,13835,14141,13267,15927,16332,19335,23234,23997,22132,25249,25458,27755,30905,33466,31776,34884,37090,38185,40897,44944,53604,49998,52219,64929,65823,67737,69083,75604,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,12,11,9,9,10,10,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,5,4,2,2,2,2,1,1,57,63,98,17,9,1,0,0,0,1,1,0,0,0,0,0,0,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,184,205,200,251,278,281,245,117,104,99,97,83,76,75,84,88,84,77,73,63,57,38,3,4,4,5,13,10,10,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
